Year of assessment for the 12 months ending:,Australian Dollar,Canadian Dollar,Euro,Hong Kong Dollar,Indian Rupee,Japanese Yen,Swiss Franc,UK Pound,US Dollar
April 2022,10.9644,11.8684,17.1616,1.9116,0.1995,0.131,16.1801,20.2333,14.8924
May 2022,10.9901,11.9341,17.1396,1.9295,0.2007,0.1306,16.2346,20.2329,15.0458
June 2022,11.0277,12.0115,17.1336,1.9475,0.2017,0.1299,16.3143,20.2285,15.2004
July 2022,11.0908,12.1292,17.132,1.9705,0.2031,0.1292,16.4434,20.24,15.3929
August 2022,11.159,12.2277,17.0887,1.9894,0.204,0.1282,16.5478,20.2059,15.5508
September 2022,11.2497,12.3698,17.1121,2.02,0.2058,0.1275,16.7371,20.2003,15.8023
October 2022,11.2937,12.4763,17.1606,2.0533,0.2076,0.1268,16.9139,20.2101,16.0743
November 2022,11.3109,12.5316,17.1709,2.0734,0.208,0.1257,17.0204,20.1805,16.2382
December 2022,11.3373,12.5584,17.1997,2.0888,0.2079,0.1248,17.1288,20.1751,16.3559
January 2023,11.3999,12.5955,17.2727,2.1052,0.208,0.1244,17.2643,20.1655,16.4889
February 2023,11.5221,12.7083,17.4329,2.1326,0.2091,0.1246,17.5026,20.2509,16.7116
March 2023,11.6193,12.8353,17.6872,2.167,0.2113,0.1255,17.805,20.4539,16.9858
April 2023,11.7109,12.9711,17.9971,2.201,0.2134,0.1269,18.1676,20.724,17.2543
May 2023,11.8316,13.1142,18.3212,2.2348,0.2155,0.1282,18.585,21.0558,17.517
June 2023,11.9552,13.263,18.6224,2.2669,0.2177,0.1295,18.9624,21.4054,17.7657
July 2023,12.0139,13.3247,18.8676,2.2819,0.2185,0.1299,19.2489,21.6736,17.8775
August 2023,12.059,13.4073,19.1648,2.3045,0.2199,0.1304,19.5747,21.9926,18.0499
September 2023,12.0972,13.4763,19.4055,2.3201,0.2207,0.1309,19.8342,22.2965,18.169
October 2023,12.1462,13.5342,19.5976,2.3307,0.2214,0.1313,20.0732,22.5241,18.2463
November 2023,12.1877,13.5758,19.781,2.3425,0.2222,0.1313,20.2968,22.731,18.3345
December 2023,12.2542,13.6732,19.9534,2.3567,0.2234,0.1314,20.5482,22.9437,18.4502
January 2024,12.3055,13.7805,20.1269,2.375,0.2248,0.1313,20.832,23.1926,18.5923
February 2024,12.3085,13.8442,20.2372,2.3874,0.2259,0.1306,21.0251,23.3898,18.6846
March 2024,12.3215,13.8921,20.3163,2.3945,0.2263,0.1298,21.1516,23.5408,18.7346
April 2024,12.3327,13.9191,20.3433,2.4024,0.2267,0.1286,21.194,23.6261,18.7927
May 2024,12.294,13.8671,20.277,2.3963,0.2258,0.1269,21.1131,23.5833,18.7401
June 2024,12.2659,13.8111,20.2361,2.3933,0.2252,0.1256,21.0954,23.5629,18.7118
July 2024,12.2599,13.774,20.2099,2.3942,0.2249,0.1245,21.065,23.5663,18.7176
August 2024,12.2467,13.7141,20.1605,2.3872,0.224,0.1239,21.0379,23.5256,18.6572
September 2024,12.2248,13.6312,20.1016,2.3737,0.2225,0.1235,21.0096,23.5028,18.5446
October 2024,12.1981,13.5365,20.0206,2.3592,0.2208,0.1227,20.9534,23.4818,18.4203
November 2024,12.1715,13.4799,19.9401,2.3533,0.22,0.1221,20.9188,23.4697,18.3697
December 2024,12.0932,13.3864,19.8317,2.349,0.2191,0.1212,20.8238,23.4199,18.3287
January 2025,12.0243,13.3031,19.7392,2.3491,0.2184,0.1204,20.7156,23.3562,18.3229
February 2025,11.9622,13.2077,19.6359,2.3448,0.217,0.12,20.6152,23.2887,18.2815
March 2025,11.8918,13.1081,19.5718,2.3398,0.2156,0.1197,20.5678,23.2562,18.2326
April 2025,11.8569,13.0823,19.6488,2.3418,0.2152,0.1204,20.7205,23.354,18.2355
May 2025,11.8117,13.0472,19.6913,2.3386,0.2145,0.1209,20.8499,23.4322,18.2088
June 2025,11.7577,13.0137,19.7508,2.3314,0.2134,0.1215,20.9586,23.4953,18.1603
July 2025,11.7108,12.9858,19.8313,2.3251,0.2124,0.122,21.1097,23.54,18.119
August 2025,11.6699,12.9564,19.8945,2.3212,0.2113,0.1217,21.1893,23.5812,18.0941
